traceid,activity,end_time
0_1278,CreateCustomerInvoice,2020-01-03 05:39:41.880538
0_1533,CreateCustomerInvoice,2020-01-03 13:29:32.354778
0_1326,CreateCustomerInvoice,2020-01-03 15:39:05.469078
0_1278,SendOverdueNotice,2020-01-03 15:43:52.857335
0_1176,CreateCustomerInvoice,2020-01-03 18:26:23.495144
0_1033,CreateCustomerInvoice,2020-01-03 18:42:39.976651
0_1319,CreateCustomerInvoice,2020-01-03 18:54:47.215334
0_1533,ClearCustomerInvoice,2020-01-03 20:29:01.508647
0_1490,CreateCustomerInvoice,2020-01-03 21:20:14.525877
0_1278,ClearCustomerInvoice,2020-01-03 22:50:26.855586
0_1176,SendOverdueNotice,2020-01-03 23:47:39.457132
0_1091,CreateCustomerInvoice,2020-01-03 23:57:09.619165
0_1176,ClearCustomerInvoice,2020-01-04 01:40:45.345918
0_1319,ClearCustomerInvoice,2020-01-04 01:42:02.881412
0_1450,CreateCustomerInvoice,2020-01-04 03:57:55.837631
0_1139,CreateCustomerInvoice,2020-01-04 04:29:32.582709
0_1102,CreateCustomerInvoice,2020-01-04 05:39:17.834775
0_1225,CreateCustomerInvoice,2020-01-04 05:51:11.310394
0_1566,CreateCustomerInvoice,2020-01-04 06:45:16.801592
0_1507,CreateCustomerInvoice,2020-01-04 07:20:06.361329
0_1039,CreateCustomerInvoice,2020-01-04 07:22:51.584219
0_1478,CreateCustomerInvoice,2020-01-04 07:24:58.389528
0_1139,ClearCustomerInvoice,2020-01-04 08:28:15.799648
0_1490,SendOverdueNotice,2020-01-04 08:50:18.226983
0_1046,CreateCustomerInvoice,2020-01-04 08:55:59.398017
0_1091,SendOverdueNotice,2020-01-04 08:58:03.914821
0_1326,ClearCustomerInvoice,2020-01-04 09:30:39.163909
0_1062,CreateCustomerInvoice,2020-01-04 09:45:09.499759
0_1528,CreateCustomerInvoice,2020-01-04 11:39:06.927744
0_1289,CreateCustomerInvoice,2020-01-04 11:45:49.307227
