traceid,activity,end_time
3_1027,CreatePurchaseOrder,2020-01-01 01:34:36.354760
3_1826,CreatePurchaseOrder,2020-01-01 02:16:32.713576
3_1215,CreatePurchaseOrder,2020-01-01 02:18:17.157963
3_1273,CreatePurchaseOrder,2020-01-01 02:54:49.891282
3_1559,CreatePurchaseOrder,2020-01-01 03:43:07.683572
3_1239,CreatePurchaseOrder,2020-01-01 03:51:10.860530
3_1405,CreatePurchaseOrder,2020-01-01 04:17:30.177640
3_1809,CreatePurchaseOrder,2020-01-01 04:31:13.281948
3_1501,CreatePurchaseOrder,2020-01-01 04:32:53.394700
3_1712,CreatePurchaseOrder,2020-01-01 05:03:17.090015
3_1086,CreatePurchaseOrder,2020-01-01 05:10:10.515648
3_1194,CreatePurchaseOrder,2020-01-01 05:15:14.556250
3_1274,CreatePurchaseOrder,2020-01-01 05:26:34.097491
3_1257,CreatePurchaseOrder,2020-01-01 06:09:35.459905
3_1315,CreatePurchaseOrder,2020-01-01 06:14:28.968427
3_1076,CreatePurchaseOrder,2020-01-01 06:19:50.693130
3_1772,CreatePurchaseOrder,2020-01-01 06:20:26.138725
3_1663,CreatePurchaseOrder,2020-01-01 06:25:50.291809
3_1174,CreatePurchaseOrder,2020-01-01 06:28:17.580064
3_1452,CreatePurchaseOrder,2020-01-01 06:34:25.895241
3_1256,CreatePurchaseOrder,2020-01-01 06:42:45.040943
3_1460,CreatePurchaseOrder,2020-01-01 06:52:26.831270
3_1182,CreatePurchaseOrder,2020-01-01 06:57:43.071452
3_1569,CreatePurchaseOrder,2020-01-01 07:03:12.951962
3_1294,CreatePurchaseOrder,2020-01-01 07:04:25.385732
3_1719,CreatePurchaseOrder,2020-01-01 08:21:21.884156
3_1576,CreatePurchaseOrder,2020-01-01 08:29:04.232490
3_1824,CreatePurchaseOrder,2020-01-01 08:49:16.642927
3_1300,CreatePurchaseOrder,2020-01-01 08:56:54.385645
3_1799,CreatePurchaseOrder,2020-01-01 09:05:39.094821
3_1680,CreatePurchaseOrder,2020-01-01 09:08:22.356146
3_1608,CreatePurchaseOrder,2020-01-01 09:17:11.170270
3_1657,CreatePurchaseOrder,2020-01-01 09:28:49.574285
3_1650,CreatePurchaseOrder,2020-01-01 09:52:00.405689
3_1041,CreatePurchaseOrder,2020-01-01 10:09:07.044320
3_1266,CreatePurchaseOrder,2020-01-01 10:54:46.794332
3_1060,CreatePurchaseOrder,2020-01-01 10:55:22.250526
3_1422,CreatePurchaseOrder,2020-01-01 11:07:09.694633
3_1558,CreatePurchaseOrder,2020-01-01 11:12:07.971071
3_1239,ApprovePurchaseOrder,2020-01-01 11:13:33.105802
3_1105,CreatePurchaseOrder,2020-01-01 11:44:31.801923
3_1199,CreatePurchaseOrder,2020-01-01 11:59:23.807563
3_1691,CreatePurchaseOrder,2020-01-01 12:06:50.169679
3_1273,ApprovePurchaseOrder,2020-01-01 12:34:07.548906
3_1744,CreatePurchaseOrder,2020-01-01 12:44:24.870532
3_1182,ApprovePurchaseOrder,2020-01-01 12:57:57.832620
3_1027,ApprovePurchaseOrder,2020-01-01 13:19:51.109905
3_1138,CreatePurchaseOrder,2020-01-01 13:29:35.216859
3_1700,CreatePurchaseOrder,2020-01-01 13:35:06.976718
3_1076,ApprovePurchaseOrder,2020-01-01 13:53:15.916247
3_1174,ApprovePurchaseOrder,2020-01-01 14:04:36.280303
3_1452,ApprovePurchaseOrder,2020-01-01 14:11:55.178401
3_1151,CreatePurchaseOrder,2020-01-01 14:22:00.711748
3_1215,ChangeQuantity,2020-01-01 14:24:37.755146
3_1818,CreatePurchaseOrder,2020-01-01 14:50:59.080230
3_1049,CreatePurchaseOrder,2020-01-01 14:52:32.447898
3_1405,ChangeQuantity,2020-01-01 15:00:29.161119
3_1125,CreatePurchaseOrder,2020-01-01 15:01:51.723697
3_1643,CreatePurchaseOrder,2020-01-01 15:02:25.947124
3_1442,CreatePurchaseOrder,2020-01-01 15:03:01.092032
3_1467,CreatePurchaseOrder,2020-01-01 15:33:25.819949
3_1680,ApprovePurchaseOrder,2020-01-01 16:17:58.650262
3_1559,ChangeQuantity,2020-01-01 16:20:30.190822
3_1809,ApprovePurchaseOrder,2020-01-01 16:39:28.400940
3_1712,ApprovePurchaseOrder,2020-01-01 16:46:41.204670
3_1576,ChangeQuantity,2020-01-01 17:05:29.152280
3_1635,CreatePurchaseOrder,2020-01-01 17:06:52.187304
3_1735,CreatePurchaseOrder,2020-01-01 17:14:47.606421
3_1764,CreatePurchaseOrder,2020-01-01 17:15:42.101867
3_1345,CreatePurchaseOrder,2020-01-01 17:40:07.149270
3_1383,CreatePurchaseOrder,2020-01-01 17:48:55.036626
3_1608,ApprovePurchaseOrder,2020-01-01 18:00:49.654675
3_1663,ApprovePurchaseOrder,2020-01-01 18:20:00.261253
3_1781,CreatePurchaseOrder,2020-01-01 18:27:46.238013
3_1719,ApprovePurchaseOrder,2020-01-01 18:40:03.192424
3_1501,ApprovePurchaseOrder,2020-01-01 18:44:36.910262
3_1274,ChangeQuantity,2020-01-01 18:56:31.416062
3_1086,ApprovePurchaseOrder,2020-01-01 19:30:10.813335
3_1194,ApprovePurchaseOrder,2020-01-01 19:37:51.727547
3_1257,ApprovePurchaseOrder,2020-01-01 19:57:04.286874
3_1294,ChangeQuantity,2020-01-01 20:04:18.150728
3_1744,ChangeQuantity,2020-01-01 20:09:37.757858
3_1827,CreatePurchaseOrder,2020-01-01 20:19:11.381564
3_1452,SendPurchaseOrder,2020-01-01 20:22:22.503873
3_1691,ApprovePurchaseOrder,2020-01-01 20:23:08.839293
