traceid,activity,end_time
1_1424,CreateDelivery,2020-01-02 07:22:19.017015
1_1424,ExecutePicking,2020-01-02 09:59:30.810298
1_1424,InsufficientMaterialFound,2020-01-02 17:51:50.063894
1_1780,CreateDelivery,2020-01-02 18:51:08.078686
1_1424,PostGoodsIssue,2020-01-02 20:01:25.897845
1_1486,CreateDelivery,2020-01-02 20:43:18.426386
1_1499,CreateDelivery,2020-01-02 21:19:30.665879
1_1780,ExecutePicking,2020-01-02 21:19:31.201231
1_1263,CreateDelivery,2020-01-02 21:24:54.792720
1_1263,ExecutePicking,2020-01-02 22:47:35.407011
1_1721,CreateDelivery,2020-01-02 23:13:46.439327
1_1499,ExecutePicking,2020-01-02 23:21:56.712354
1_1721,ExecutePicking,2020-01-03 00:14:19.669051
1_1307,CreateDelivery,2020-01-03 01:02:55.505754
1_1707,CreateDelivery,2020-01-03 01:34:43.422716
1_1721,InsufficientMaterialFound,2020-01-03 02:15:37.954762
1_1134,CreateDelivery,2020-01-03 02:37:07.368486
1_1087,CreateDelivery,2020-01-03 03:05:07.655004
1_1486,ExecutePicking,2020-01-03 03:50:53.908783
1_1835,CreateDelivery,2020-01-03 04:29:56.044324
1_1134,ExecutePicking,2020-01-03 05:04:04.941607
1_1148,CreateDelivery,2020-01-03 05:25:11.798178
1_1424,CreateCustomerInvoice,2020-01-03 05:39:41.880538
1_1780,InsufficientMaterialFound,2020-01-03 06:08:51.087924
1_1707,ExecutePicking,2020-01-03 06:46:43.206655
1_1041,CreateDelivery,2020-01-03 06:49:01.463524
1_1238,CreateDelivery,2020-01-03 06:53:34.313416
1_1192,CreateDelivery,2020-01-03 06:56:24.658844
1_1030,CreateDelivery,2020-01-03 08:12:21.240909
1_1263,PostGoodsIssue,2020-01-03 08:16:30.925544
1_1499,InsufficientMaterialFound,2020-01-03 08:34:41.600219
1_1780,PostGoodsIssue,2020-01-03 09:36:44.977127
1_1746,CreateDelivery,2020-01-03 09:40:46.150341
1_1192,ExecutePicking,2020-01-03 09:49:55.346951
1_1134,InsufficientMaterialFound,2020-01-03 10:07:56.816628
1_1030,ExecutePicking,2020-01-03 10:17:31.039891
1_1499,PostGoodsIssue,2020-01-03 10:26:33.409006
1_1376,CreateDelivery,2020-01-03 10:32:56.140132
1_1307,ExecutePicking,2020-01-03 10:41:57.261977
1_1087,ExecutePicking,2020-01-03 11:36:21.383768
1_1721,PostGoodsIssue,2020-01-03 11:45:53.340047
1_1051,CreateDelivery,2020-01-03 11:47:22.202669
1_1758,CreateDelivery,2020-01-03 12:25:14.330726
1_1486,PostGoodsIssue,2020-01-03 12:29:14.815422
1_1707,InsufficientMaterialFound,2020-01-03 12:50:12.259498
1_1835,ExecutePicking,2020-01-03 13:04:43.275425
1_1349,CreateDelivery,2020-01-03 13:10:38.144060
1_1746,ExecutePicking,2020-01-03 13:11:34.775065
1_1780,CreateCustomerInvoice,2020-01-03 13:29:32.354778
1_1238,ExecutePicking,2020-01-03 13:29:38.995869
1_1148,ExecutePicking,2020-01-03 13:39:12.736607
1_1307,InsufficientMaterialFound,2020-01-03 14:52:16.422855
1_1134,PostGoodsIssue,2020-01-03 15:34:41.441183
1_1499,CreateCustomerInvoice,2020-01-03 15:39:05.469078
1_1148,InsufficientMaterialFound,2020-01-03 16:46:00.167538
1_1773,CreateDelivery,2020-01-03 17:25:36.139959
1_1657,CreateDelivery,2020-01-03 17:26:46.794267
1_1030,PostGoodsIssue,2020-01-03 17:31:29.570705
1_1051,ExecutePicking,2020-01-03 17:35:07.203288
1_1087,InsufficientMaterialFound,2020-01-03 17:39:51.839846
1_1142,CreateDelivery,2020-01-03 17:46:38.899447
1_1041,ExecutePicking,2020-01-03 18:12:40.864468
