traceid,activity,end_time
2_1202,PostGoodsReceipt,2020-01-01 23:25:25.315193
2_1636,PostGoodsReceipt,2020-01-01 23:44:23.605027
2_1393,PostGoodsReceipt,2020-01-02 00:07:43.083661
2_1275,PostGoodsReceipt,2020-01-02 02:26:56.846410
2_1618,PostGoodsReceipt,2020-01-02 05:09:44.953191
2_1526,PostGoodsReceipt,2020-01-02 06:40:51.855352
2_1547,PostGoodsReceipt,2020-01-02 08:30:21.180143
2_1686,PostGoodsReceipt,2020-01-02 09:03:26.465319
2_1292,PostGoodsReceipt,2020-01-02 09:27:46.532454
2_1274,PostGoodsReceipt,2020-01-02 09:39:04.881667
2_1158,PostGoodsReceipt,2020-01-02 09:45:43.641769
2_1393,ExecutePicking,2020-01-02 09:59:30.810298
2_1699,PostGoodsReceipt,2020-01-02 10:34:35.404346
2_1133,PostGoodsReceipt,2020-01-02 12:08:44.192299
2_1123,PostGoodsReceipt,2020-01-02 12:43:05.527409
2_1750,PostGoodsReceipt,2020-01-02 13:10:40.003496
2_1536,PostGoodsReceipt,2020-01-02 14:32:53.827775
2_1232,PostGoodsReceipt,2020-01-02 14:40:33.965053
2_1442,PostGoodsReceipt,2020-01-02 15:08:03.909068
2_1478,PostGoodsReceipt,2020-01-02 16:45:31.449060
2_1393,InsufficientMaterialFound,2020-01-02 17:51:50.063894
2_1453,PostGoodsReceipt,2020-01-02 17:53:57.814946
2_1670,PostGoodsReceipt,2020-01-02 18:17:52.967901
2_1148,PostGoodsReceipt,2020-01-02 18:28:28.147899
2_1717,PostGoodsReceipt,2020-01-02 18:53:23.020406
2_1302,PostGoodsReceipt,2020-01-02 19:16:46.005146
2_1072,PostGoodsReceipt,2020-01-02 19:21:00.610443
2_1412,PostGoodsReceipt,2020-01-02 19:34:45.333366
2_1583,PostGoodsReceipt,2020-01-02 19:37:19.989635
2_1393,PostGoodsIssue,2020-01-02 20:01:25.897845
2_1179,PostGoodsReceipt,2020-01-02 21:06:07.695364
2_1750,ExecutePicking,2020-01-02 21:19:31.201231
2_1646,PostGoodsReceipt,2020-01-02 21:38:15.347890
2_1020,PostGoodsReceipt,2020-01-02 22:06:14.434202
2_1232,ExecutePicking,2020-01-02 22:47:35.407011
2_1787,PostGoodsReceipt,2020-01-02 22:59:58.466013
2_1048,PostGoodsReceipt,2020-01-02 23:04:39.236208
2_1453,ExecutePicking,2020-01-02 23:21:56.712354
2_1032,PostGoodsReceipt,2020-01-03 00:07:34.960663
2_1670,ExecutePicking,2020-01-03 00:14:19.669051
2_1368,PostGoodsReceipt,2020-01-03 00:57:54.306907
2_1525,PostGoodsReceipt,2020-01-03 01:06:04.862151
2_1119,PostGoodsReceipt,2020-01-03 01:19:39.935394
2_1670,InsufficientMaterialFound,2020-01-03 02:15:37.954762
2_1093,PostGoodsReceipt,2020-01-03 03:17:46.249676
2_1442,ExecutePicking,2020-01-03 03:50:53.908783
2_1710,PostGoodsReceipt,2020-01-03 04:50:10.720593
2_1119,ExecutePicking,2020-01-03 05:04:04.941607
2_1261,PostGoodsReceipt,2020-01-03 05:18:25.356483
2_1311,PostGoodsReceipt,2020-01-03 05:25:07.483131
2_1750,InsufficientMaterialFound,2020-01-03 06:08:51.087924
2_1802,PostGoodsReceipt,2020-01-03 06:40:07.186714
2_1646,ExecutePicking,2020-01-03 06:46:43.206655
2_1607,PostGoodsReceipt,2020-01-03 07:45:12.727659
2_1232,PostGoodsIssue,2020-01-03 08:16:30.925544
2_1453,InsufficientMaterialFound,2020-01-03 08:34:41.600219
2_1742,PostGoodsReceipt,2020-01-03 08:54:25.667281
2_1750,PostGoodsIssue,2020-01-03 09:36:44.977127
2_1179,ExecutePicking,2020-01-03 09:49:55.346951
2_1119,InsufficientMaterialFound,2020-01-03 10:07:56.816628
2_1032,ExecutePicking,2020-01-03 10:17:31.039891
2_1453,PostGoodsIssue,2020-01-03 10:26:33.409006
