traceid,activity,end_time
4_1094,CreateQuotation,2020-01-01 01:11:01.829294
4_1399,CreateQuotation,2020-01-01 01:16:28.056143
4_1206,CreateQuotation,2020-01-01 01:49:08.833763
4_1010,CreateQuotation,2020-01-01 02:00:45.376206
4_1078,CreateQuotation,2020-01-01 02:32:37.227902
4_1135,CreateQuotation,2020-01-01 03:14:39.374118
4_1238,CreateQuotation,2020-01-01 03:30:59.139796
4_1158,CreateQuotation,2020-01-01 03:45:47.807242
4_1365,CreateQuotation,2020-01-01 04:11:01.638971
4_1128,CreateQuotation,2020-01-01 04:18:53.379551
4_1361,CreateQuotation,2020-01-01 04:52:37.092370
4_1279,CreateQuotation,2020-01-01 05:09:45.844727
4_1391,CreateQuotation,2020-01-01 05:13:11.332121
4_1023,CreateQuotation,2020-01-01 05:19:23.618175
4_1423,CreateQuotation,2020-01-01 05:29:59.410766
4_1355,CreateQuotation,2020-01-01 05:43:28.513127
4_1329,CreateQuotation,2020-01-01 05:45:36.018871
4_1071,CreateQuotation,2020-01-01 05:56:45.823274
4_1074,CreateQuotation,2020-01-01 07:02:40.872136
4_1017,CreateQuotation,2020-01-01 07:05:38.811351
4_1123,CreateQuotation,2020-01-01 07:17:03.770643
4_1336,CreateQuotation,2020-01-01 07:22:01.950669
4_1244,CreateQuotation,2020-01-01 07:46:13.615221
4_1411,CreateQuotation,2020-01-01 07:49:56.396038
4_1176,CreateQuotation,2020-01-01 07:52:10.103377
4_1199,CreateQuotation,2020-01-01 07:54:24.575063
4_1100,CreateQuotation,2020-01-01 08:10:09.998579
4_1228,CreateQuotation,2020-01-01 08:10:15.616428
4_1367,CreateQuotation,2020-01-01 08:22:24.839857
4_1206,ApproveQuotation,2020-01-01 08:31:59.177894
4_1045,CreateQuotation,2020-01-01 08:32:38.648418
4_1007,CreateQuotation,2020-01-01 08:38:03.862006
4_1394,CreateQuotation,2020-01-01 08:42:54.684108
4_1034,CreateQuotation,2020-01-01 08:44:46.771261
4_1346,CreateQuotation,2020-01-01 08:49:11.263969
4_1063,CreateQuotation,2020-01-01 08:53:09.671117
4_1143,CreateQuotation,2020-01-01 09:13:56.915794
4_1142,CreateQuotation,2020-01-01 09:25:02.195533
4_1324,CreateQuotation,2020-01-01 09:28:49.785453
4_1217,CreateQuotation,2020-01-01 09:29:30.604095
4_1405,CreateQuotation,2020-01-01 09:39:57.427659
4_1386,CreateQuotation,2020-01-01 09:55:47.182229
4_1432,CreateQuotation,2020-01-01 10:33:10.486221
4_1037,CreateQuotation,2020-01-01 10:52:24.329280
4_1285,CreateQuotation,2020-01-01 11:09:03.397090
4_1094,ApproveQuotation,2020-01-01 11:18:54.904657
4_1232,CreateQuotation,2020-01-01 11:19:08.800914
4_1078,ApproveQuotation,2020-01-01 11:31:33.359953
4_1081,CreateQuotation,2020-01-01 11:31:39.259813
4_1280,CreateQuotation,2020-01-01 12:05:06.659040
4_1106,CreateQuotation,2020-01-01 12:08:35.530247
4_1312,CreateQuotation,2020-01-01 12:13:18.736923
4_1417,CreateQuotation,2020-01-01 12:28:12.458285
4_1129,CreateQuotation,2020-01-01 12:28:50.906818
4_1150,CreateQuotation,2020-01-01 12:29:16.366470
4_1010,ApproveQuotation,2020-01-01 13:11:42.992632
4_1430,CreateQuotation,2020-01-01 13:35:00.188321
4_1254,CreateQuotation,2020-01-01 13:41:31.622049
4_1391,ApproveQuotation,2020-01-01 13:57:17.974028
4_1293,CreateQuotation,2020-01-01 14:00:29.047767
4_1339,CreateQuotation,2020-01-01 14:09:27.847997
4_1100,ApproveQuotation,2020-01-01 14:37:02.042769
4_1361,ApproveQuotation,2020-01-01 14:54:42.542389
4_1161,CreateQuotation,2020-01-01 15:07:41.739847
4_1355,ApproveQuotation,2020-01-01 15:15:24.754397
4_1399,ApproveQuotation,2020-01-01 15:20:27.191215
4_1078,ApproveQuotation,2020-01-01 15:42:33.898111
4_1232,ApproveQuotation,2020-01-01 15:54:29.762177
4_1023,ApproveQuotation,2020-01-01 16:02:22.843042
4_1158,ApproveQuotation,2020-01-01 16:04:57.267345
4_1238,ApproveQuotation,2020-01-01 16:06:29.332914
4_1279,ApproveQuotation,2020-01-01 16:13:25.821130
4_1228,ApproveQuotation,2020-01-01 16:19:36.280028
4_1128,ApproveQuotation,2020-01-01 16:25:22.021275
4_1336,ApproveQuotation,2020-01-01 16:36:19.112144
4_1206,ApproveQuotation,2020-01-01 16:39:47.823824
4_1423,ApproveQuotation,2020-01-01 16:54:36.625934
4_1373,CreateQuotation,2020-01-01 17:20:13.240832
4_1411,ApproveQuotation,2020-01-01 17:20:38.436439
4_1329,ApproveQuotation,2020-01-01 17:37:12.519994
4_1034,ApproveQuotation,2020-01-01 18:58:02.506643
4_1176,ApproveQuotation,2020-01-01 19:02:22.619454
4_1106,ApproveQuotation,2020-01-01 19:08:27.630236
4_1135,ApproveQuotation,2020-01-01 19:09:32.811358
4_1045,ApproveQuotation,2020-01-01 19:14:37.443815
4_1217,ApproveQuotation,2020-01-01 19:42:17.631015
4_1074,ApproveQuotation,2020-01-01 19:50:40.954649
4_1143,ApproveQuotation,2020-01-01 20:07:09.146891
4_1123,ApproveQuotation,2020-01-01 20:16:38.031692
